project	bug_ID	priority	type(person1)	type(person2)	type(final decision)	bug_URL	created_time	patch_URL
Lucene	LUCENE-9977	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9977	2021/5/26	https://github.com/apache/lucene/pull/178/files
Lucene	LUCENE-9976	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9976	2021/5/26	https://github.com/apache/lucene/pull/171/files
Lucene	LUCENE-9963	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9963	2021/5/18	https://github.com/apache/lucene/pull/157/files
Lucene	LUCENE-9940	major	T1.2.1	T1.2.1	T1.2.1	https://issues.apache.org/jira/browse/LUCENE-9940	2021/4/27	https://github.com/apache/lucene/pull/110/files
Lucene	LUCENE-9930	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9930	2021/4/15	https://github.com/apache/lucene/pull/109/files
Lucene	LUCENE-9895	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9895	2021/3/30	https://github.com/apache/lucene/pull/54/files
Lucene	LUCENE-9894	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9894	2021/3/30	https://github.com/apache/lucene/pull/51/files
Lucene	LUCENE-9888	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9888	2021/3/27	https://github.com/apache/lucene/pull/49/files
Lucene	LUCENE-9880	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9880	2021/3/26	https://github.com/apache/lucene/commit/974e4bc
Lucene	LUCENE-9870	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9870	2021/3/25	https://github.com/apache/lucene/pull/41/files
Lucene	LUCENE-9849	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9849	2021/3/17	https://github.com/apache/lucene/pull/21/files
Lucene	LUCENE-9791	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9791	2021/2/19	https://github.com/apache/lucene/pull/8/files
Lucene	LUCENE-9762	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9762	2021/2/10	https://github.com/apache/lucene/commit/25554180480fdd5722e43ab9356be0f8bab936d0
Lucene.Net	LUCENENET#311	blocker(critical)	T2	T2	T2	https://github.com/apache/lucenenet/issues/311	2020/7/21	https://github.com/apache/lucenenet/pull/314/files
Lucene.Net	LUCENENET#573	critical(high)	T2	T2	T2	https://github.com/apache/lucenenet/issues/573	2021/12/12	https://github.com/apache/lucenenet/pull/576/files
Lucene.Net	LUCENENET#565	critical(high)	T2	T2	T2	https://github.com/apache/lucenenet/issues/565	2021/12/5	https://github.com/apache/lucenenet/pull/565/files
Lucene.Net	LUCENENET#492	critical(high)	T2	T2	T2	https://github.com/apache/lucenenet/issues/492	2021/6/4	https://github.com/apache/lucenenet/pull/497/files
Lucene.Net	LUCENENET#453	critical(high)	T2	T2	T2	https://github.com/apache/lucenenet/issues/453	2021/4/6	https://github.com/apache/lucenenet/pull/455/files
Lucene.Net	LUCENENET#416	critical(high)	T2	T2	T2	https://github.com/apache/lucenenet/issues/416	2021/2/9	https://github.com/apache/lucenenet/pull/449/files
Lucene.Net	LUCENENET#394	critical(high)	T2	T2	T2	https://github.com/apache/lucenenet/issues/394	2020/12/24	https://github.com/apache/lucenenet/pull/467/files
Lucene.Net	LUCENENET#380	critical(high)	T2	T2	T2	https://github.com/apache/lucenenet/issues/380	2020/10/24	https://github.com/apache/lucenenet/pull/391/files
